#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
15              1      -0.606916       0.343565      0.0148736      0.0665924
15              2       0.654217       0.303189       0.017078      0.0673245
15              3      -0.708957       0.265903      0.0243737      0.0707775
15              4      -0.632268       0.329196      0.0135251      0.0672122
15              5       0.593303       0.360877      0.0104251      0.0676801
15              6      -0.617394       0.339046      0.0133837      0.0696812
15              7         0.6535        0.31056      0.0157219      0.0701256
15              8       0.655975        0.31402      0.0170723      0.0684223
15              9      -0.623342        0.32639      0.0176719        0.06639
15             10       0.677051       0.293538      0.0226703       0.070508
15             11      -0.716138       0.274615      0.0259735      0.0692381
15             12      -0.725701       0.262936      0.0287352      0.0692298
15             13       0.654713       0.310873       0.020366      0.0690195
15             14      -0.717129       0.281412      0.0285804      0.0699768
15             15              1              0      0.0670521      0.0709278
15             16      0.0780289       0.278459   -3.15585e-05     0.00731849
15             17     -0.0917351       0.271593    0.000182903     0.00744833
15             18      0.0721979       0.275258   -1.91903e-06     0.00728727
15             19     -0.0898047       0.271653   -0.000244268      0.0070375
15             20     -0.0701243       0.274856   -0.000295109     0.00756264
